Iteration	287	Unknown
428	86.00	47.00
429	86.00	47.00
430	86.00	47.00
431	86.00	47.00
432	85.00	48.00
433	85.00	48.00
434	85.00	48.00
435	85.00	48.00
436	86.00	47.00
437	86.00	47.00
438	86.00	47.00
439	85.00	48.00
440	86.00	47.00
441	87.00	46.00
442	86.00	47.00
443	85.00	48.00
444	86.00	47.00
445	86.00	47.00
446	86.00	47.00
447	85.00	48.00
448	86.00	47.00
449	85.00	48.00
450	86.00	47.00
451	86.00	47.00
452	86.00	47.00
453	87.00	46.00
454	85.00	48.00
455	86.00	47.00
456	85.00	48.00
457	84.00	49.00
458	87.00	46.00
459	86.00	47.00
460	86.00	47.00
461	87.00	46.00
462	85.00	48.00
463	86.00	47.00
464	87.00	46.00
465	85.00	48.00
466	86.00	47.00
467	87.00	46.00
468	87.00	46.00
469	86.00	47.00
470	85.00	48.00
471	86.00	47.00
472	86.00	47.00
473	86.00	47.00
474	86.00	47.00
475	87.00	46.00
476	86.00	47.00
477	86.00	47.00
478	85.00	48.00
479	87.00	46.00
480	85.00	48.00
481	85.00	48.00
482	86.00	47.00
483	87.00	46.00
484	86.00	47.00
485	87.00	46.00
486	86.00	47.00
487	86.00	47.00
488	85.00	48.00
489	85.00	48.00
490	86.00	47.00
491	87.00	46.00
492	87.00	46.00
493	87.00	46.00
494	87.00	46.00
495	87.00	46.00
496	86.00	47.00
497	87.00	46.00
498	87.00	46.00
499	87.00	46.00
500	85.00	48.00
501	85.00	48.00
502	86.00	47.00
503	86.00	47.00
504	86.00	47.00
505	86.00	47.00
506	85.00	48.00
507	86.00	47.00
508	85.00	48.00
509	85.00	48.00
510	86.00	47.00
511	86.00	47.00
512	86.00	47.00
513	86.00	47.00
514	87.00	46.00
515	87.00	46.00
516	86.00	47.00
517	86.00	47.00
518	87.00	46.00
519	87.00	46.00
520	87.00	46.00
521	85.00	48.00
522	87.00	46.00
523	86.00	47.00
524	86.00	47.00
525	87.00	46.00
526	86.00	47.00
527	86.00	47.00
528	87.00	46.00
529	85.00	48.00
530	85.00	48.00
531	86.00	47.00
532	85.00	48.00
533	86.00	47.00
534	86.00	47.00
535	86.00	47.00
536	86.00	47.00
537	86.00	47.00
538	87.00	46.00
539	86.00	47.00
540	86.00	47.00
541	87.00	46.00
542	86.00	47.00
543	83.00	50.00
544	86.00	47.00
545	86.00	47.00
546	86.00	47.00
547	87.00	46.00
548	87.00	46.00
549	85.00	48.00
550	86.00	47.00
551	85.00	48.00
552	86.00	47.00
553	86.00	47.00
554	86.00	47.00
555	86.00	47.00
556	87.00	46.00
557	86.00	47.00
558	85.00	48.00
559	87.00	46.00
560	85.00	48.00
561	85.00	48.00
562	86.00	47.00
563	86.00	47.00
564	86.00	47.00
565	86.00	47.00
566	87.00	46.00
567	86.00	47.00
568	87.00	46.00
569	87.00	46.00
570	86.00	47.00
571	87.00	46.00
572	87.00	46.00
573	87.00	46.00
574	87.00	46.00
575	85.00	48.00
576	86.00	47.00
577	85.00	48.00
578	85.00	48.00
579	86.00	47.00
580	87.00	46.00
581	86.00	47.00
582	86.00	47.00
583	87.00	46.00
584	86.00	47.00
585	85.00	48.00
586	87.00	46.00
587	85.00	48.00
588	86.00	47.00
589	87.00	46.00
590	87.00	46.00
591	86.00	47.00
592	87.00	46.00
593	86.00	47.00
594	86.00	47.00
595	85.00	48.00
596	87.00	46.00
597	86.00	47.00
598	87.00	46.00
599	85.00	48.00
600	86.00	47.00
601	86.00	47.00
602	87.00	46.00
603	87.00	46.00
604	86.00	47.00
605	85.00	48.00
606	85.00	48.00
607	87.00	46.00
608	87.00	46.00
609	85.00	48.00
610	87.00	46.00
611	86.00	47.00
612	86.00	47.00
613	85.00	48.00
614	87.00	46.00
615	86.00	47.00
616	86.00	47.00
617	86.00	47.00
618	86.00	47.00
619	86.00	47.00
620	87.00	46.00
621	87.00	46.00
622	86.00	47.00
623	86.00	47.00
624	85.00	48.00
625	85.00	48.00
626	87.00	46.00
627	86.00	47.00
628	84.00	49.00
629	86.00	47.00
630	85.00	48.00
631	86.00	47.00
632	85.00	48.00
633	86.00	47.00
634	86.00	47.00
635	86.00	47.00
636	87.00	46.00
637	86.00	47.00
638	86.00	47.00
639	86.00	47.00
640	85.00	48.00
641	85.00	48.00
642	86.00	47.00
643	87.00	46.00
644	86.00	47.00
645	86.00	47.00
646	85.00	48.00
647	86.00	47.00
648	86.00	47.00
649	86.00	47.00
650	85.00	48.00
651	86.00	47.00
652	86.00	47.00
653	86.00	47.00
654	86.00	47.00
655	85.00	48.00
656	86.00	47.00
657	86.00	47.00
658	84.00	49.00
659	87.00	46.00
660	86.00	47.00
661	87.00	46.00
662	86.00	47.00
663	87.00	46.00
664	86.00	47.00
665	86.00	47.00
666	87.00	46.00
667	85.00	48.00
668	87.00	46.00
669	85.00	48.00
670	87.00	46.00
671	87.00	46.00
672	86.00	47.00
673	87.00	46.00
674	86.00	47.00
675	87.00	46.00
676	87.00	46.00
677	87.00	46.00
678	86.00	47.00
679	85.00	48.00
680	85.00	48.00
681	85.00	48.00
682	86.00	47.00
683	86.00	47.00
684	87.00	46.00
685	87.00	46.00
686	86.00	47.00
687	86.00	47.00
688	87.00	46.00
689	86.00	47.00
690	87.00	46.00
691	86.00	47.00
692	87.00	46.00
693	87.00	46.00
694	86.00	47.00
695	87.00	46.00
696	85.00	48.00
697	86.00	47.00
698	87.00	46.00
699	85.00	48.00
700	86.00	47.00
701	86.00	47.00
702	86.00	47.00
703	85.00	48.00
704	87.00	46.00
705	85.00	48.00
706	87.00	46.00
707	84.00	49.00
708	85.00	48.00
709	84.00	49.00
710	84.00	49.00
711	86.00	47.00
712	86.00	47.00
713	86.00	47.00
714	85.00	48.00
715	87.00	46.00
716	86.00	47.00
717	86.00	47.00
718	86.00	47.00
719	85.00	48.00
720	87.00	46.00
721	85.00	48.00
722	87.00	46.00
723	85.00	48.00
724	86.00	47.00
725	85.00	48.00
726	85.00	48.00
727	86.00	47.00
728	86.00	47.00
729	86.00	47.00
730	86.00	47.00
731	86.00	47.00
732	86.00	47.00
733	86.00	47.00
734	86.00	47.00
735	87.00	46.00
736	85.00	48.00
737	86.00	47.00
738	87.00	46.00
739	85.00	48.00
740	86.00	47.00
741	87.00	46.00
742	86.00	47.00
743	87.00	46.00
744	88.00	45.00
745	86.00	47.00
746	86.00	47.00
747	86.00	47.00
748	86.00	47.00
749	86.00	47.00
750	87.00	46.00
751	85.00	48.00
752	87.00	46.00
753	86.00	47.00
754	85.00	48.00
755	86.00	47.00
756	87.00	46.00
757	87.00	46.00
758	87.00	46.00
759	86.00	47.00
760	86.00	47.00
761	87.00	46.00
762	86.00	47.00
763	86.00	47.00
764	86.00	47.00
765	85.00	48.00
766	86.00	47.00
767	87.00	46.00
768	87.00	46.00
769	87.00	46.00
770	86.00	47.00
771	86.00	47.00
772	87.00	46.00
773	86.00	47.00
774	85.00	48.00
775	86.00	47.00
776	85.00	48.00
777	86.00	47.00
778	86.00	47.00
779	86.00	47.00
780	86.00	47.00
781	87.00	46.00
782	85.00	48.00
783	85.00	48.00
784	86.00	47.00
785	86.00	47.00
786	85.00	48.00
787	85.00	48.00
788	86.00	47.00
789	87.00	46.00
790	87.00	46.00
791	85.00	48.00
792	86.00	47.00
793	86.00	47.00
794	87.00	46.00
795	85.00	48.00
796	84.00	49.00
797	86.00	47.00
798	87.00	46.00
799	86.00	47.00
800	85.00	48.00
801	87.00	46.00
802	85.00	48.00
803	87.00	46.00
804	86.00	47.00
805	86.00	47.00
806	86.00	47.00
807	85.00	48.00
808	87.00	46.00
809	85.00	48.00
810	87.00	46.00
811	87.00	46.00
812	86.00	47.00
813	85.00	48.00
814	85.00	48.00
815	85.00	48.00
816	86.00	47.00
817	85.00	48.00
818	87.00	46.00
819	87.00	46.00
820	87.00	46.00
821	86.00	47.00
822	86.00	47.00
823	87.00	46.00
824	85.00	48.00
825	87.00	46.00
826	85.00	48.00
827	85.00	48.00
828	86.00	47.00
829	87.00	46.00
830	87.00	46.00
831	86.00	47.00
832	86.00	47.00
833	86.00	47.00
834	86.00	47.00
835	86.00	47.00
836	86.00	47.00
837	87.00	46.00
838	87.00	46.00
839	86.00	47.00
840	86.00	47.00
841	87.00	46.00
842	87.00	46.00
843	86.00	47.00
844	86.00	47.00
845	86.00	47.00
846	86.00	47.00
847	86.00	47.00
848	86.00	47.00
849	87.00	46.00
850	86.00	47.00
851	86.00	47.00
852	86.00	47.00
853	86.00	47.00
854	87.00	46.00
855	87.00	46.00
856	86.00	47.00
857	85.00	48.00
858	87.00	46.00
859	87.00	46.00
860	87.00	46.00
861	86.00	47.00
862	87.00	46.00
863	86.00	47.00
864	87.00	46.00
865	86.00	47.00
866	86.00	47.00
867	86.00	47.00
868	85.00	48.00
869	86.00	47.00
870	86.00	47.00
871	87.00	46.00
872	86.00	47.00
873	86.00	47.00
874	86.00	47.00
875	86.00	47.00
876	85.00	48.00
877	85.00	48.00
878	86.00	47.00
879	86.00	47.00
880	86.00	47.00
881	87.00	46.00
882	87.00	46.00
883	86.00	47.00
884	86.00	47.00
885	86.00	47.00
886	86.00	47.00
887	85.00	48.00
888	87.00	46.00
889	85.00	48.00
890	87.00	46.00
891	86.00	47.00
892	86.00	47.00
893	87.00	46.00
894	85.00	48.00
895	87.00	46.00
896	87.00	46.00
897	85.00	48.00
898	87.00	46.00
899	86.00	47.00
900	86.00	47.00
901	85.00	48.00
902	87.00	46.00
903	87.00	46.00
904	85.00	48.00
905	86.00	47.00
906	87.00	46.00
907	87.00	46.00
908	87.00	46.00
909	86.00	47.00
910	85.00	48.00
911	85.00	48.00
912	85.00	48.00
913	86.00	47.00
914	86.00	47.00
915	85.00	48.00
916	87.00	46.00
917	85.00	48.00
918	86.00	47.00
919	86.00	47.00
920	86.00	47.00
921	87.00	46.00
922	86.00	47.00
923	86.00	47.00
924	87.00	46.00
925	86.00	47.00
926	86.00	47.00
927	86.00	47.00
928	87.00	46.00
929	87.00	46.00
930	86.00	47.00
931	85.00	48.00
932	86.00	47.00
933	87.00	46.00
934	87.00	46.00
935	84.00	49.00
936	86.00	47.00
937	87.00	46.00
938	87.00	46.00
939	86.00	47.00
940	85.00	48.00
941	86.00	47.00
942	87.00	46.00
943	85.00	48.00
944	87.00	46.00
945	87.00	46.00
946	87.00	46.00
947	85.00	48.00
948	85.00	48.00
949	85.00	48.00
950	85.00	48.00
951	85.00	48.00
952	87.00	46.00
953	85.00	48.00
954	85.00	48.00
955	85.00	48.00
956	85.00	48.00
957	87.00	46.00
958	86.00	47.00
959	86.00	47.00
960	86.00	47.00
961	87.00	46.00
962	86.00	47.00
963	86.00	47.00
964	87.00	46.00
965	87.00	46.00
966	86.00	47.00
967	85.00	48.00
968	86.00	47.00
969	87.00	46.00
970	87.00	46.00
971	87.00	46.00
972	86.00	47.00
973	87.00	46.00
974	86.00	47.00
975	87.00	46.00
976	86.00	47.00
977	86.00	47.00
978	86.00	47.00
979	85.00	48.00
980	85.00	48.00
981	87.00	46.00
982	86.00	47.00
983	86.00	47.00
984	86.00	47.00
985	87.00	46.00
986	85.00	48.00
987	87.00	46.00
988	86.00	47.00
989	87.00	46.00
990	85.00	48.00
991	85.00	48.00
992	86.00	47.00
993	85.00	48.00
994	85.00	48.00
995	87.00	46.00
996	87.00	46.00
997	86.00	47.00
998	85.00	48.00
999	85.00	48.00
