Iteration	LogLikelihood	MoveType
369	-4401.4581	Swapped from Chain 1
369	-4401.4581	Reject
370	-4401.4581	Reject
371	-4402.7609	Swapped from Chain 1
371	-4402.7609	Reject
372	-4402.7609	Reject
373	-4401.5098	Swapped from Chain 1
373	-4401.5098	Reject
374	-4401.5098	Reject
375	-4401.4678	Swapped from Chain 1
375	-4401.4678	Reject
376	-4401.4678	Reject
377	-4401.4960	Swapped from Chain 1
377	-4401.4960	Reject
378	-4401.4960	Reject
379	-4401.4475	Swapped from Chain 1
379	-4401.4475	Reject
380	-4401.4475	Reject
381	-4401.5704	Swapped from Chain 1
381	-4401.5704	Reject
382	-4401.5704	Reject
383	-4401.4463	Swapped from Chain 1
383	-4401.4463	Reject
384	-4401.4463	Reject
385	-4401.4485	Swapped from Chain 1
385	-4401.4485	Reject
386	-4401.4485	Reject
387	-4401.5757	Swapped from Chain 1
387	-4401.5757	Reject
388	-4401.5757	Reject
389	-4401.4508	Swapped from Chain 1
389	-4401.4508	Reject
390	-4401.4508	Reject
391	-4401.4501	Swapped from Chain 1
391	-4401.4501	Reject
392	-4401.4501	Reject
393	-4401.4560	Swapped from Chain 1
393	-4401.4560	Reject
394	-4401.4560	Reject
395	-4402.5773	Swapped from Chain 1
395	-4402.5773	Reject
396	-4402.5773	Reject
397	-4401.5759	Swapped from Chain 1
397	-4401.5759	Reject
398	-4401.5759	Reject
399	-4402.7286	Swapped from Chain 1
399	-4402.7286	Reject
400	-4402.7286	Reject
401	-4402.7662	Swapped from Chain 1
401	-4402.7662	Reject
402	-4402.7662	Reject
403	-4402.5448	Swapped from Chain 1
403	-4402.5448	Reject
404	-4402.5448	Reject
405	-4401.4581	Swapped from Chain 1
405	-4401.4581	Reject
406	-4401.4581	Reject
407	-4402.7609	Swapped from Chain 1
407	-4402.7609	Reject
408	-4402.7609	Reject
409	-4401.4678	Swapped from Chain 1
409	-4401.4678	Reject
410	-4401.4678	Reject
411	-4401.5098	Swapped from Chain 1
411	-4401.5098	Reject
412	-4401.5098	Reject
413	-4401.4960	Swapped from Chain 1
413	-4401.4960	Reject
414	-4401.4960	Reject
415	-4401.4475	Swapped from Chain 1
415	-4401.4475	Reject
416	-4401.4475	Reject
417	-4401.5704	Swapped from Chain 1
417	-4401.5704	Reject
418	-4401.5704	Reject
419	-4401.4463	Swapped from Chain 1
419	-4401.4463	Reject
420	-4401.4463	Reject
421	-4401.4485	Swapped from Chain 1
421	-4401.4485	Reject
422	-4401.4485	Reject
423	-4401.5757	Swapped from Chain 1
423	-4401.5757	Reject
424	-4401.5757	Reject
425	-4401.4508	Swapped from Chain 1
425	-4401.4508	Reject
426	-4401.4508	Reject
427	-4401.4501	Swapped from Chain 1
427	-4401.4501	Reject
428	-4401.4501	Reject
429	-4401.4560	Swapped from Chain 1
429	-4401.4560	Reject
430	-4401.4560	Reject
431	-4402.5773	Swapped from Chain 1
431	-4402.5773	Reject
432	-4402.5773	Reject
433	-4401.5759	Swapped from Chain 1
433	-4401.5759	Reject
434	-4401.5759	Reject
435	-4401.4581	Swapped from Chain 1
435	-4401.4581	Reject
436	-4401.4581	Reject
437	-4402.7662	Swapped from Chain 1
